trajectory,sample,progress_percent,A1_deg,A2_deg,A3_deg,A4_deg,A5_deg,A6_deg,delta_A1_deg,delta_A2_deg,delta_A3_deg,delta_A4_deg,delta_A5_deg,delta_A6_deg,delta_norm_deg
BASELINE sin afinar,60,13.824884792626728,-10.675466583773996,-69.96795845125564,95.06849303559139,44.363035083144204,20.486442929157356,-55.08401157835849,0.5842247519912096,1.0964890762912631,0.2775036487134912,7.423168370634308,6.04966191839304,6.835789814714374,11.834292353449271
BASELINE sin afinar,61,14.055299539170507,-11.214597905433484,-68.95610196473864,95.32457754482577,37.5128245076409,26.069161248673847,-48.775842701855865,0.5391313216594877,1.0118564865170043,0.256084509234384,6.850210575503304,5.582718319516491,6.308168876502627,10.920861630175956
BASELINE sin afinar,62,14.285714285714286,-11.708635796761207,-68.02887806799593,95.55924291458096,31.235571727269146,31.184935969313376,-42.995294763565454,0.49403789132772324,0.9272238967427029,0.23466536975519148,6.277252780371754,5.1157747206395285,5.780547938290411,10.007430906901805
BASELINE sin afinar,63,14.516129032258064,-12.157580257757212,-67.18628676102749,95.77248914485708,25.531276742028332,35.8337670910764,-37.742367763486726,0.44894446099600493,0.8425913069684441,0.21324623027611267,5.704294985240814,4.648831121763028,5.252927000078728,9.09400018362859
BASELINE sin afinar,64,14.746543778801843,-12.561431288421506,-66.42832804383326,95.96431623565401,20.39993955191838,40.015654613963015,-33.01706170161959,0.40385103066429373,0.7579587171942279,0.19182709079693439,5.131337190109953,4.181887522886612,4.725306061867137,8.180569460355525
BASELINE sin afinar,65,14.976958525345623,-12.9201888887541,-65.75500191641326,96.13472418697187,15.841560156939215,43.730598537973265,-28.819376577963975,0.3587576003325932,0.6733261274199975,0.17040795131785558,4.5583793949791644,3.7149439240102495,4.197685123655614,7.267138737082572
BASELINE sin afinar,66,15.2073732718894,-13.233853058754988,-65.16630837876747,96.28371299881057,11.856138557090768,46.97859886310721,-25.14931239251985,0.3136641700008891,0.5886935376457956,0.14898881183870571,3.985421599848447,3.248000325133944,3.670064185444126,6.353708013809714
BASELINE sin afinar,67,15.43778801843318,-13.502423798424173,-64.6622474308959,96.41128267117016,8.443674752373102,49.75965558936479,-22.006869145287236,0.268570739669185,0.5040609478715652,0.12756967235958427,3.4124638047176656,2.7810567262575816,3.142443247232613,5.440277290536772
BASELINE sin afinar,68,15.668202764976959,-13.725901107761658,-64.24281907279854,96.51743320405063,5.604168742786205,52.07376871674603,-19.392046836266132,0.22347730933748444,0.41942835809736323,0.10615053288047704,2.8395060095868976,2.3141131273812405,2.614822309021104,4.526846567263854
BASELINE sin afinar,69,15.898617511520737,-13.904284986767427,-63.90802330447539,96.60216459745196,3.337620528330181,53.92093824525084,-17.30484546545664,0.17838387900576969,0.33479576832314706,0.08473139340132718,2.2665482144560234,1.847169528504807,2.087201370809492,3.613415843990758
BASELINE sin afinar,70,16.129032258064516,-14.03757543544149,-63.657860125926476,96.66547685137418,1.644030109004957,55.301164174879275,-15.745265032858697,0.13329044867406203,0.2501631785489167,0.06331225392221995,1.6935904193252243,1.3802259296284376,1.5595804325979437,2.69998512071778
BASELINE sin afinar,71,16.359447004608295,-14.125772453783847,-63.49232953715179,96.70736996581728,0.5233974848105566,56.214446505631315,-14.713305538472323,0.08819701834235794,0.1655305887746863,0.04189311444309851,1.1206326241944002,0.9132823307520397,1.0319594943863741,1.786554397444759
BASELINE sin afinar,72,16.589861751152075,-14.168876041794494,-63.41143153815133,96.72784394078124,-0.024277344252988987,56.660785237506936,-14.208966982297538,0.04310358801064673,0.08089799900046302,0.02047397496396286,0.5476748290635456,0.44633873187562045,0.5043385561747851,0.8731236741716968
BASELINE sin afinar,73,16.820276497695854,-14.17356170241122,-63.40263736148568,96.7300696046432,-0.08381341759987936,56.709305370382026,-14.154141864036346,0.0046856606167260395,0.008794176665645637,0.002225663861963767,0.05953607334689037,0.04852013287509038,0.054825118261192074,0.09491463245677459
BASELINE sin afinar,74,17.05069124423963,-14.17356170241122,-63.40263736148568,96.7300696046432,-0.08381341759987936,56.709305370382026,-14.154141864036346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASELINE sin afinar,75,17.28110599078341,-14.173563403978676,-63.39369566266422,96.73644027383926,0.20266547996553183,56.5442786224932,-14.440491036913464,1.7015674558251703e-06,0.008941698821459454,0.006370669196058998,0.2864788975654112,0.16502674788882388,0.28634917287711836,0.4375161419687041
BASELINE sin afinar,76,17.51152073732719,-14.173568508681043,-63.36687056619987,96.75555228142743,1.0621021726617652,56.04919837882674,-15.299538555544823,5.104702367475511e-06,0.02682509646434994,0.019112007588162783,0.8594366926962334,0.4950802436664645,0.8590475186313586,1.312548425906111
