condition,sample,progress_percent,A1_deg,A2_deg,A3_deg,A4_deg,A5_deg,A6_deg,delta_A1_deg,delta_A2_deg,delta_A3_deg,delta_A4_deg,delta_A5_deg,delta_A6_deg,delta_norm_deg
KRL,75,15.527950310559007,-0.019536,-90.126778,89.868607,0.000303,75.671051,-0.065786,0.0004190000000000027,0.002716000000006602,0.0028149999999982356,0.00011199999999999998,1.6183010000000024,0.0014059999999999906,1.618306396336308
KRL,76,15.734989648033126,-0.020256,-90.131447,89.86377,0.000495,78.452507,-0.068202,0.0007199999999999984,0.004668999999992707,0.004836999999994873,0.000192,2.7814559999999915,0.0024160000000000015,2.7814652736257472
KRL,77,15.942028985507246,-0.020675,-90.134163,89.860954,0.000608,80.070808,-0.069608,0.00041899999999999923,0.002716000000006602,0.002815999999995711,0.00011300000000000004,1.6183010000000024,0.0014060000000000045,1.618306398145607
KRL,78,16.149068322981368,-0.021093,-90.136879,89.858139,0.00072,81.68911,-0.071014,0.0004180000000000017,0.002715999999992391,0.0028150000000124464,0.00011200000000000001,1.618302,0.0014059999999999906,1.6183073960743675
KRL,79,16.356107660455486,-0.021499,-90.139511,89.855415,0.000828,83.256844,-0.072376,0.0004060000000000001,0.002632000000005519,0.002724000000000615,0.00010799999999999991,1.5677340000000015,0.001362000000000002,1.5677392238188101
KRL,80,16.563146997929607,-0.022232,-90.144264,89.850494,0.001025,86.088867,-0.074836,0.0007329999999999975,0.004753000000008001,0.004920999999995956,0.00019700000000000013,2.8320229999999924,0.002460000000000004,2.83203243404396
KRL,81,16.770186335403725,-0.022638,-90.146896,89.847771,0.001133,87.656601,-0.076198,0.0004060000000000001,0.002631999999991308,0.0027230000000031396,0.0001079999999999998,1.5677340000000015,0.001362000000000002,1.567739222081595
KRL,82,16.977225672877847,-0.023057,-90.149612,89.844955,0.001245,89.274902,-0.077604,0.0004190000000000027,0.002716000000006602,0.002815999999995711,0.00011200000000000012,1.6183010000000024,0.0014060000000000045,1.61830639807609
KRL,83,17.184265010351968,-0.023298,-90.151093,89.843506,0.0013,90.010124,-0.078199,0.00024099999999999816,0.0014809999999982892,0.0014489999999938163,5.499999999999993e-05,0.7352220000000074,0.0005949999999999983,0.7352252018103098
KRL,84,17.391304347826086,-0.042191,-89.976974,90.117828,0.001487,89.446152,-0.109412,0.018893,0.17411900000000458,0.27432199999999796,0.0001870000000000001,0.5639720000000068,0.03121299999999999,0.6518938827876881
KRL,85,17.598343685300208,-0.120335,-89.3367,91.023415,0.002045,87.900162,-0.18805,0.07814399999999999,0.6402740000000051,0.905586999999997,0.0005579999999999999,1.5459900000000033,0.078638,1.9058894041599086
KRL,86,17.805383022774325,-0.196472,-88.713326,91.905029,0.002588,86.394539,-0.264646,0.07613700000000001,0.6233739999999983,0.881613999999999,0.0005430000000000001,1.505623,0.076596,1.8559103135213717
KRL,87,18.012422360248447,-0.273028,-88.08651,92.791504,0.003135,84.880608,-0.344156,0.07655599999999999,0.6268159999999909,0.8864750000000043,0.0005470000000000002,1.5139309999999995,0.07951000000000003,1.8662546066083787
KRL,88,18.21946169772257,-0.407413,-86.986206,94.376579,0.004112,82.173561,-0.479382,0.13438500000000003,1.1003040000000084,1.5850750000000033,0.000977,2.7070469999999887,0.13522599999999996,3.3298020154477608
KRL,89,18.426501035196686,-0.487685,-86.328957,95.277138,0.004668,80.635551,-0.557627,0.08027199999999995,0.6572489999999931,0.900558999999987,0.0005560000000000001,1.5380099999999999,0.07824500000000001,1.9028987633941452
KRL,90,18.633540372670808,-0.565914,-85.688446,96.182999,0.005226,79.08847,-0.636333,0.07822900000000005,0.6405110000000036,0.9058610000000016,0.0005579999999999995,1.5470810000000057,0.07870600000000005,1.9069905178694584
KRL,91,18.840579710144926,-0.644611,-85.04409,97.094292,0.005788,77.532104,-0.715513,0.07869700000000002,0.6443560000000019,0.9112930000000006,0.000562,1.556365999999997,0.07917999999999992,1.918433662807759
KRL,92,19.047619047619047,-0.787758,-83.872154,98.751541,0.00681,74.702385,-0.859455,0.1431469999999999,1.1719360000000023,1.6572490000000073,0.0010220000000000003,2.829718999999997,0.14394200000000001,3.4883275738546993
KRL,93,19.25465838509317,-0.86965,-83.201767,99.699471,0.007394,73.084084,-0.941769,0.08189200000000008,0.670386999999991,0.9479299999999995,0.0005840000000000003,1.6183010000000024,0.082314,1.995086558670073
KRL,94,19.461697722567287,-0.948984,-82.552338,100.617775,0.00796,71.516357,-1.02151,0.07933400000000002,0.6494289999999978,0.918303999999992,0.0005659999999999997,1.567727000000005,0.07974099999999995,1.9327340841354763
KRL,95,19.66873706004141,-1.030876,-81.88195,101.565697,0.008545,69.898056,-1.103824,0.08189199999999985,0.6703880000000026,0.9479220000000055,0.0005850000000000005,1.6183010000000024,0.082314,1.995083093937198
KRL,96,19.875776397515526,-1.171629,-80.729721,103.224564,0.009568,67.066025,-1.247874,0.14075300000000013,1.1522290000000055,1.6588670000000008,0.0010229999999999996,2.8320310000000006,0.14405,3.4843125337904204
